,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
647558,20MICRONS,EQ,36.0,36.3,34.6,35.2,35.0,36.5,73518,2592129.15,2016-01-01,610,INE144J01027
814747,20MICRONS,EQ,35.55,37.5,34.75,35.9,35.95,35.2,258669,9428181.1,2016-01-04,823,INE144J01027
773227,20MICRONS,EQ,36.45,36.7,35.4,35.55,35.5,35.9,74075,2653403.85,2016-01-05,292,INE144J01027
665682,20MICRONS,EQ,35.95,36.5,35.7,35.75,35.75,35.55,83594,3004382.6,2016-01-06,307,INE144J01027
685518,20MICRONS,EQ,35.9,35.9,33.05,34.1,34.25,35.75,53613,1856282.15,2016-01-07,354,INE144J01027
738452,20MICRONS,EQ,34.5,36.0,34.5,35.05,34.95,34.1,97928,3465314.6,2016-01-08,461,INE144J01027
816370,20MICRONS,EQ,34.9,37.0,34.5,36.55,36.45,35.05,123972,4494342.2,2016-01-11,576,INE144J01027
683898,20MICRONS,EQ,36.5,39.3,35.8,36.2,36.25,36.55,235040,8856977.65,2016-01-12,1069,INE144J01027
667303,20MICRONS,EQ,37.1,37.65,30.0,33.5,33.0,36.2,216155,7222293.0,2016-01-13,1314,INE144J01027
645938,20MICRONS,EQ,31.2,33.8,31.0,32.75,32.65,33.5,62719,2043154.0,2016-01-14,552,INE144J01027
715215,20MICRONS,EQ,33.25,34.5,30.55,31.0,31.1,32.75,54109,1752127.75,2016-01-15,471,INE144J01027
779790,20MICRONS,EQ,29.8,31.0,27.7,28.1,27.9,31.0,64843,1905030.55,2016-01-18,556,INE144J01027
793081,20MICRONS,EQ,28.8,30.05,27.2,29.2,29.2,28.1,48353,1410071.2,2016-01-19,296,INE144J01027
616166,20MICRONS,EQ,29.7,30.0,27.0,28.1,28.15,29.2,37853,1071675.1,2016-01-20,309,INE144J01027
523285,20MICRONS,EQ,28.75,29.3,25.35,26.35,26.0,28.1,215398,5692047.05,2016-01-21,966,INE144J01027
456876,20MICRONS,EQ,27.0,27.2,26.5,26.75,26.55,26.35,45014,1209992.05,2016-01-22,267,INE144J01027
478451,20MICRONS,EQ,27.25,27.8,26.95,27.55,27.8,26.75,54044,1488006.6,2016-01-25,154,INE144J01027
586297,20MICRONS,EQ,28.0,28.0,27.15,27.3,27.15,27.55,16225,448460.8,2016-01-27,162,INE144J01027
609555,20MICRONS,EQ,27.5,27.5,26.7,26.9,26.7,27.3,65673,1784061.25,2016-01-28,187,INE144J01027
545012,20MICRONS,EQ,26.8,27.65,26.8,27.3,27.2,26.9,16716,455327.75,2016-01-29,96,INE144J01027
761557,20MICRONS,EQ,27.7,28.3,27.05,27.75,27.8,27.3,34694,963665.9,2016-02-01,124,INE144J01027
627763,20MICRONS,EQ,28.0,28.75,27.15,27.55,27.35,27.75,26191,739309.35,2016-02-02,200,INE144J01027
726890,20MICRONS,EQ,28.15,28.15,26.05,26.5,26.45,27.55,19357,519130.3,2016-02-03,144,INE144J01027
702066,20MICRONS,EQ,26.5,27.7,26.05,26.1,26.05,26.5,11825,315105.05,2016-02-04,148,INE144J01027
655845,20MICRONS,EQ,26.0,26.6,26.0,26.5,26.6,26.1,9291,245443.4,2016-02-05,82,INE144J01027
833005,20MICRONS,EQ,26.15,27.1,26.0,26.4,26.3,26.5,11366,303655.85,2016-02-08,151,INE144J01027
745064,20MICRONS,EQ,26.45,26.8,25.7,26.6,26.5,26.4,5248,138237.65,2016-02-09,90,INE144J01027
657455,20MICRONS,EQ,26.0,28.75,26.0,27.6,27.75,26.6,65049,1785609.85,2016-02-10,330,INE144J01027
700436,20MICRONS,EQ,28.65,29.35,26.25,26.55,26.5,27.6,80235,2238337.95,2016-02-11,511,INE144J01027
804709,20MICRONS,EQ,27.05,28.0,26.0,26.4,26.15,26.55,25738,676985.5,2016-02-12,197,INE144J01027
826289,20MICRONS,EQ,27.0,29.9,26.95,28.15,27.9,26.4,54313,1536746.65,2016-02-15,353,INE144J01027
728492,20MICRONS,EQ,29.25,29.25,27.1,27.25,27.4,28.15,15293,422566.65,2016-02-16,116,INE144J01027
626153,20MICRONS,EQ,27.75,27.75,25.7,26.55,26.7,27.25,49061,1299475.3,2016-02-17,207,INE144J01027
677249,20MICRONS,EQ,27.0,27.25,26.25,26.65,26.7,26.55,33881,902992.7,2016-02-18,198,INE144J01027
690395,20MICRONS,EQ,26.8,27.75,26.5,26.9,27.0,26.65,14514,392708.25,2016-02-19,134,INE144J01027
540091,20MICRONS,EQ,27.8,27.8,26.1,26.65,26.55,26.9,50312,1345021.35,2016-02-22,115,INE144J01027
599683,20MICRONS,EQ,27.5,27.5,26.35,26.55,26.5,26.65,4840,130225.75,2016-02-23,67,INE144J01027
581438,20MICRONS,EQ,26.1,26.25,25.8,26.2,26.2,26.55,10534,275042.35,2016-02-24,52,INE144J01027
558242,20MICRONS,EQ,26.25,26.5,25.0,25.45,25.95,26.2,17346,452440.15,2016-02-25,109,INE144J01027
465086,20MICRONS,EQ,25.8,26.95,25.7,26.4,26.65,25.45,7345,192730.4,2016-02-26,108,INE144J01027
448627,20MICRONS,EQ,26.0,27.25,25.7,26.1,26.2,26.4,12609,328498.5,2016-02-29,115,INE144J01027
753414,20MICRONS,EQ,26.8,27.25,26.1,27.0,26.7,26.1,61467,1627817.6,2016-03-01,158,INE144J01027
642697,20MICRONS,EQ,26.7,27.6,26.7,27.15,27.1,27.0,38434,1042794.65,2016-03-02,101,INE144J01027
713604,20MICRONS,EQ,27.7,27.7,26.5,27.3,27.3,27.15,18063,491534.7,2016-03-03,89,INE144J01027
687150,20MICRONS,EQ,27.55,27.8,27.0,27.25,27.35,27.3,20477,560941.25,2016-03-04,157,INE144J01027
818003,20MICRONS,EQ,27.25,27.7,27.0,27.2,27.25,27.25,12526,342296.1,2016-03-08,96,INE144J01027
756651,20MICRONS,EQ,27.4,27.4,26.5,26.85,26.7,27.2,9749,262890.8,2016-03-09,74,INE144J01027
668938,20MICRONS,EQ,27.6,27.6,26.2,26.75,26.65,26.85,28534,764195.95,2016-03-10,137,INE144J01027
688769,20MICRONS,EQ,27.25,27.25,26.2,26.45,26.5,26.75,15277,408478.0,2016-03-11,125,INE144J01027
751785,20MICRONS,EQ,27.2,27.75,26.9,27.6,27.6,26.45,48910,1333012.3,2016-03-14,190,INE144J01027
839618,20MICRONS,EQ,28.45,28.45,26.9,27.6,27.65,27.6,17151,471883.35,2016-03-15,179,INE144J01027
711970,20MICRONS,EQ,28.0,28.75,27.6,28.65,28.25,27.6,45539,1285895.3,2016-03-16,176,INE144J01027
644321,20MICRONS,EQ,29.0,30.0,28.4,28.85,28.5,28.65,10153,294567.05,2016-03-17,109,INE144J01027
664042,20MICRONS,EQ,29.8,29.8,28.0,28.45,28.25,28.85,4490,127786.6,2016-03-18,79,INE144J01027
458496,20MICRONS,EQ,29.4,29.4,28.15,28.6,28.65,28.45,6678,189852.45,2016-03-21,46,INE144J01027
521650,20MICRONS,EQ,28.8,28.8,27.1,28.45,28.65,28.6,13277,374878.65,2016-03-22,187,INE144J01027
614537,20MICRONS,EQ,28.65,28.8,28.1,28.45,28.6,28.45,2890,82143.8,2016-03-23,45,INE144J01027
506778,20MICRONS,EQ,27.55,28.9,27.5,27.55,27.5,28.45,42375,1179073.5,2016-03-28,87,INE144J01027
440284,20MICRONS,EQ,27.55,28.5,26.9,27.3,27.0,27.55,82651,2283316.35,2016-03-29,263,INE144J01027
551591,20MICRONS,EQ,27.9,28.0,27.4,27.5,27.45,27.3,22826,630292.3,2016-03-30,60,INE144J01027
587914,20MICRONS,EQ,27.8,28.95,27.75,28.15,28.05,27.5,14623,415058.35,2016-03-31,114,INE144J01027
758263,20MICRONS,EQ,27.95,29.15,27.5,28.5,28.5,28.15,32780,928645.65,2016-04-01,209,INE144J01027
710345,20MICRONS,EQ,28.9,28.9,28.1,28.45,28.15,28.5,13002,370291.05,2016-04-04,49,INE144J01027
662434,20MICRONS,EQ,30.7,30.7,28.1,28.9,28.95,28.45,13674,402566.2,2016-04-05,127,INE144J01027
778177,20MICRONS,EQ,28.5,30.6,28.5,29.95,30.0,28.9,21527,640111.55,2016-04-06,219,INE144J01027
794705,20MICRONS,EQ,29.4,35.3,29.4,32.75,32.8,29.95,146241,4884578.35,2016-04-07,1074,INE144J01027
841242,20MICRONS,EQ,32.4,33.5,31.6,32.4,32.15,32.75,17422,571294.75,2016-04-08,203,INE144J01027
708713,20MICRONS,EQ,32.95,32.95,31.45,31.65,31.65,32.4,13339,426171.65,2016-04-11,160,INE144J01027
796319,20MICRONS,EQ,32.0,32.0,31.1,31.25,31.45,31.65,14816,465688.1,2016-04-12,132,INE144J01027
776537,20MICRONS,EQ,31.8,35.9,31.2,35.0,35.0,31.25,396181,13824951.7,2016-04-13,1967,INE144J01027
670544,20MICRONS,EQ,34.95,36.0,33.5,34.2,34.85,35.0,82109,2893153.95,2016-04-18,605,INE144J01027
510063,20MICRONS,EQ,35.45,35.45,33.25,33.75,33.85,34.2,30807,1045957.15,2016-04-20,206,INE144J01027
435391,20MICRONS,EQ,33.9,35.0,32.25,33.0,33.3,33.75,48174,1593805.6,2016-04-21,253,INE144J01027
543385,20MICRONS,EQ,32.2,33.3,32.15,32.4,32.7,33.0,27303,888744.9,2016-04-22,224,INE144J01027
571478,20MICRONS,EQ,32.5,32.8,32.0,32.25,32.35,32.4,18081,584973.15,2016-04-25,115,INE144J01027
463455,20MICRONS,EQ,31.5,33.4,31.5,32.05,32.0,32.25,9142,294870.15,2016-04-26,119,INE144J01027
490171,20MICRONS,EQ,32.7,33.0,31.55,32.4,32.35,32.05,30177,976927.45,2016-04-27,137,INE144J01027
503457,20MICRONS,EQ,34.4,34.4,31.5,31.95,31.8,32.4,17759,579451.55,2016-04-28,172,INE144J01027
460167,20MICRONS,EQ,32.4,32.4,31.4,31.7,31.5,31.95,36877,1181941.65,2016-04-29,102,INE144J01027
